SoundID,LayerName,MSE (dB)
19,input_after_preproc,-9.13629842101909
19,conv1,-9.990150945809352
19,bn1,-7.207319395902342
19,conv1_relu1,-7.203966989980177
19,maxpool1,-9.430894164802474
19,layer1,-2.854971234115457
19,layer2,-2.398973970353774
19,layer3,-3.9111092943677344
19,layer4,-4.3669458111981445
19,avgpool,-37.998134448676254
19,final/signal/word_int,-35.715085271880824
19,final/signal/speaker_int,-43.37714490128785
19,final/noise/labels_binary_via_int,-67.18352039947868
