SoundID,LayerName,MSE (dB)
0,input_after_preproc,-10.555481611652322
0,conv1,-11.911088449297813
0,bn1,-9.240814011401723
0,conv1_relu1,-9.24047196991945
0,maxpool1,-11.82677361756387
0,layer1,-4.050185376214488
0,layer2,-3.5730323147452707
0,layer3,-6.604516509904059
0,layer4,-13.955109724577628
0,avgpool,-49.7128160731079
0,final/signal/word_int,-52.21749751775475
0,final/signal/speaker_int,-56.77441564210846
0,final/noise/labels_binary_via_int,-72.48990712875593
