SoundID,LayerName,R^2
10,input_after_preproc,0.9999999968122819
10,conv1,0.9999998940709088
10,bn1,0.9999981950752286
10,conv1_relu1,0.999998207178139
10,maxpool1,0.9999997266000562
10,layer1,0.9999350745528436
10,layer2,0.9995085843975683
10,layer3,0.9966538602851482
10,layer4,0.9988846657758556
10,avgpool,0.9999671995794397
10,final/signal/word_int,0.9998961428426942
10,final/signal/speaker_int,0.9999760185031973
10,final/noise/labels_binary_via_int,0.9999219154964055
