SoundID,LayerName,MSE (dB)
16,input_after_preproc,-79.84460762525497
16,conv1,-62.57070047961491
16,bn1,-54.47768802076415
16,conv1_relu1,-54.47886452477833
16,maxpool1,-59.08395429466988
16,layer1,-35.405053353966615
16,layer2,-28.507723708162132
16,layer3,-32.20532199573452
16,layer4,-35.28941909728053
16,avgpool,-44.25179713059498
16,final/signal/word_int,-22.387087501910223
16,final/signal/speaker_int,-26.871831592766657
16,final/noise/labels_binary_via_int,-65.30512177481158
