SoundID,LayerName,MSE (dB)
5,input_after_preproc,-87.29309398553471
5,conv1,-66.70068618294313
5,bn1,-54.47699871086851
5,conv1_relu1,-54.60998522438938
5,maxpool1,-69.53530942361907
5,layer1,-32.30892956026477
5,layer2,-24.627331979336724
5,layer3,-17.563428700289915
5,layer4,-21.435751077641328
5,avgpool,-31.799028443299
5,final/signal/word_int,-25.6957633741772
5,final/signal/speaker_int,-31.305066074559626
5,final/noise/labels_binary_via_int,-43.41499598724019
