SoundID,LayerName,MSE (dB)
10,input_after_preproc,-90.43458266999407
10,conv1,-70.08439493787833
10,bn1,-58.53696986748226
10,conv1_relu1,-58.563095685620056
10,maxpool1,-67.33992226050115
10,layer1,-42.789458645896694
10,layer2,-34.141256070872515
10,layer3,-25.93494758198432
10,layer4,-29.63092268242839
10,avgpool,-44.929365197869004
10,final/signal/word_int,-39.83417512385027
10,final/signal/speaker_int,-46.20030796513092
10,final/noise/labels_binary_via_int,-51.64164652208445
