SoundID,LayerName,MSE (dB)
2,input_after_preproc,-81.89566846309026
2,conv1,-61.584299592026824
2,bn1,-52.8741019260965
2,conv1_relu1,-52.965992346070664
2,maxpool1,-58.65165233038372
2,layer1,-36.119934626660886
2,layer2,-31.107311675277423
2,layer3,-26.64594175152905
2,layer4,-27.472932882640055
2,avgpool,-37.897477154880704
2,final/signal/word_int,-37.13248073889659
2,final/signal/speaker_int,-44.0319939310243
2,final/noise/labels_binary_via_int,-48.50945044738096
