SoundID,LayerName,MSE (dB)
18,input_after_preproc,-86.50056584268418
18,conv1,-63.00689533580367
18,bn1,-58.775618273006565
18,conv1_relu1,-58.74344791378604
18,maxpool1,-58.64990277734652
18,layer1,-35.59678337282646
18,layer2,-29.315774215047075
18,layer3,-19.594348287844582
18,layer4,-13.864054183223642
18,avgpool,-27.887064247249533
18,final/signal/word_int,-22.386508600038088
18,final/signal/speaker_int,-22.098770637939094
18,final/noise/labels_binary_via_int,-54.107220754124555
