SoundID,LayerName,MSE (dB)
26,input_after_preproc,-90.29180300397462
26,conv1,-64.09789061366617
26,bn1,-60.88767884793693
26,conv1_relu1,-60.82400487558399
26,maxpool1,-65.36527005285399
26,layer1,-39.14844143274934
26,layer2,-33.367598938376354
26,layer3,-21.61104420419653
26,layer4,-13.567468934448074
26,avgpool,-30.276170483189908
26,final/signal/word_int,-23.543731288616456
26,final/signal/speaker_int,-22.521565992555143
26,final/noise/labels_binary_via_int,-56.20051747162591
