SoundID,LayerName,MSE (dB)
14,input_after_preproc,-99.35035612480276
14,conv1,-66.04994445299735
14,bn1,-61.30020443650112
14,conv1_relu1,-61.37460829626728
14,maxpool1,-64.64157803494352
14,layer1,-42.30660221370578
14,layer2,-34.135566721516064
14,layer3,-31.839459851017544
14,layer4,-27.526257259420248
14,avgpool,-38.80004470959602
14,final/signal/word_int,-26.682152328741914
14,final/signal/speaker_int,-33.16949048857556
14,final/noise/labels_binary_via_int,-68.36334341497734
